;cd_local;id_caso_prev;percent;previsao_numerica
182;182;2;82,89484897551715;12482,98333333334
183;183;2;10,151615029663924;564,6666666666731
184;184;3;27,380194683639168;1684,972800000005
185;185;0;0,0;0,0
186;186;0;0,0;0,0
187;187;0;0,0;0,0
188;188;3;31,389236545682163;180,57600000000033
189;189;3;90,50944402255588;10083,09600000001
190;190;2;100,0;559,9
191;191;2;18,03815904456743;726,5866666666665
192;192;3;36,279069767441825;11,231999999999989
193;193;0;0,0;0,0
194;194;0;0,0;0,0
195;195;0;0,0;0,0
196;196;3;48,320598031503025;210784,8703999996
197;197;2;66,1114302125215;506,4399999999997
198;198;0;0,0;0,0
199;199;0;0,0;0,0
200;200;0;0,0;0,0
201;201;0;0,0;0,0
202;202;0;0,0;0,0
203;203;2;57,61884496958468;843,9566666666664
204;204;0;0,0;0,0
205;205;3;48,61934637660593;38463,72693333326
206;206;0;0,0;0,0
207;207;0;0,0;0,0
208;208;3;34,44085096282226;417,8735999999995
209;209;2;100,0;1,1
210;210;2;100,0;842,6
211;211;0;0,0;0,0
212;212;2;81,09533468559829;1832,4166666666645
