;cd_local;id_death_prev;percent;previsao_numerica
167;167;2;86,43360292199324;728,8600000000001
168;168;0;100,0;0,0
169;169;2;77,90055248618792;62,040000000000056
170;170;2;56,83453237410077;17,380000000000017
171;171;2;100,0;24,2
172;172;1;14,375000000000012;8,464000000000008
173;173;1;37,16621253405985;50,19519999999988
174;174;0;100,0;0,0
175;175;2;100,0;108,9
176;176;2;54,00230987917545;10698,159999999978
177;177;2;72,54004576659038;348,69999999999993
178;178;2;100,0;60,5
179;179;2;71,95333979052232;26312,659999999978
180;180;2;100,0;14,3
181;181;2;100,0;919,6
182;182;2;68,40148698884755;80,95999999999995
183;183;2;71,88049209138836;89,97999999999995
184;184;2;99,01831353034763;6435,2199999999975
185;185;2;80,73303067212937;1604,020000000001
186;186;1;26,77083333333334;56,74560000000002
187;187;2;100,0;7,7
188;188;2;77,27272727272731;67,32000000000004
189;189;2;100,0;23,1
190;190;2;100,0;64,9
191;191;0;100,0;0,0
192;192;2;40,0;22,0
193;193;2;58,78524945770067;59,620000000000026
194;194;1;85,84564860426939;384,7808000000004
195;195;2;59,09161958779004;5821,860000000003
196;196;2;100,0;6,6
197;197;2;53,48837209302324;55,65999999999998
198;198;1;17,81295076215354;840,7328000000009
199;199;2;75,9036144578313;374,2199999999998
200;200;2;83,08747664593842;39330,719999999965
201;201;2;78,88145288939491;187479,6
202;202;2;10,891089108910837;2,419999999999988
203;203;2;76,37795275590544;42,67999999999996
204;204;2;59,79703356752534;337,0399999999998
205;205;0;100,0;0,0
206;206;2;52,04513399153736;405,89999999999986
207;207;2;100,0;38,5
208;208;2;100,0;1,1
209;209;2;69,93707160607391;836907,9399999984
210;210;2;97,65336909151864;640,8600000000002
211;211;2;63,30809551543386;239,13999999999987
