;centroid
0;100,0
1;0,0
2;14,103786866525384
3;0,0
4;0,0
5;0,0
6;100,0
7;0,0
8;100,0
9;100,0
10;59,87247119590777
11;0,0
12;100,0
13;0,0
14;100,0
15;16,355017078339085
16;100,0
17;100,0
18;0,0
19;0,0
20;57,10826344417346
21;73,31304906167033
22;0,0
23;100,0
24;0,0
25;0,0
26;0,0
27;100,0
28;100,0
29;0,1753360607833823
30;0,0
31;100,0
32;24,814092845282147
33;100,0
34;20,26911190500403
35;0,0
36;0,0
37;53,07584123866111
38;25,335585861056753
39;100,0
40;49,695540455971006
41;1,4094284986833807
42;0,0
43;23,072100313479528
44;100,0
45;0,0
46;18,388066692188886
47;0,0
48;0,0
49;0,0
50;100,0
51;0,0
52;14,032573289902778
53;0,0
54;60,80175316692519
55;100,0
56;60,589311597465375
57;0,0
58;11,312984952219322
59;14,896793818432538
60;13,118555315832776
61;100,0
62;0,0
63;0,0
64;100,0
65;0,0
66;38,60962566844987
67;0,0
68;0,0
69;0,0
70;11,85500330583262
71;45,285495431691274
72;0,0
73;100,0
74;55,62535510984531
75;0,0
76;0,0
77;100,0
78;100,0
79;0,0
80;100,0
81;100,0
82;10,116439935439479
83;60,11266763049
84;0,0
85;77,14735430793354
86;0,0
87;0,0
88;0,0
89;0,0
90;0,0
91;0,0
92;0,0
93;0,0
94;0,0
95;0,0
96;66,58687412726897
97;0,0
98;100,0
99;0,0
100;100,0
101;100,0
102;0,0
103;5,648387609026587
104;100,0
105;100,0
106;100,0
107;100,0
108;44,94382022471915
109;0,0
110;0,0
111;0,0
112;100,0
113;0,0
114;100,0
115;0,0
116;0,0
117;0,0
118;6,897944766415358
119;37,18350003497251
120;0,0
121;100,0
122;27,43372639019523
123;0,0
124;0,0
125;81,00101389104735
126;59,608768525052945
127;100,0
128;0,0
129;0,0
130;10,97019632264305
131;0,0
132;0,0
133;0,0
134;0,0
135;0,0
136;100,0
137;0,0
138;0,0
139;16,448035914702462
140;64,91761135795136
141;100,0
142;2,0472440944882315
143;100,0
144;0,0
145;0,0
146;15,604154940126094
147;88,15868537662742
148;0,0
149;100,0
150;52,93057686220074
151;0,0
152;100,0
153;0,0
154;0,0
155;0,0
156;0,0
157;34,478198609704165
158;0,0
159;100,0
160;100,0
161;11,645295055821322
162;100,0
163;20,581263354700123
164;100,0
165;54,33783070777104
166;66,80460595874972
167;27,84966994894858
168;100,0
169;38,401018878000855
170;100,0
171;19,13906959918088
172;0,0
173;0,0
174;0,0
175;0,0
176;12,092003864916448
177;10,535188281720501
178;37,471396394375155
179;7,508256386062154
180;0,0
181;100,0
182;32,51097827842986
183;100,0
184;0,9613448953003837
185;100,0
186;0,0
187;0,0
188;26,67722547108485
189;3,7781570263733744
190;0,0
191;80,92450545014077
192;27,854938271604723
193;0,0
194;0,0
195;0,0
196;33,5284967397735
197;100,0
198;0,0
199;0,0
200;0,0
201;0,0
202;100,0
203;2,553227456385656
204;0,0
205;100,0
206;100,0
207;0,0
208;35,918293633928634
209;0,0
210;0,0
211;0,0
212;45,33266633316656
