,cod_location,date_id,total_cases
24882,99,20201028,8787.0
24883,99,20201029,8851.0
25183,100,20201025,96534.0
25184,100,20201026,97074.0
25185,100,20201027,97498.0
25186,100,20201028,98116.0
25187,100,20201029,98852.0
25407,101,20201025,530.0
25408,101,20201026,530.0
25409,101,20201027,556.0
25410,101,20201028,560.0
25411,101,20201029,566.0
25644,102,20201025,50750.0
25645,102,20201026,53087.0
25646,102,20201027,55055.0
25647,102,20201028,58855.0
25648,102,20201029,61942.0
25875,103,20201025,147297.0
25876,103,20201026,147463.0
25877,103,20201027,147615.0
25878,103,20201028,148037.0
25879,103,20201029,148479.0
26113,104,20201025,48790.0
26114,104,20201026,49721.0
26115,104,20201027,49997.0
26116,104,20201028,50833.0
26117,104,20201029,51851.0
26343,105,20201025,17757.0
26344,105,20201026,17943.0
26345,105,20201027,18148.0
26346,105,20201028,18345.0
26347,105,20201029,18626.0
26647,106,20201025,120927.0
26648,106,20201026,121635.0
26649,106,20201027,122317.0
26650,106,20201028,123092.0
26651,106,20201029,123906.0
26872,107,20201025,55750.0
26873,107,20201026,56170.0
26874,107,20201027,56738.0
26875,107,20201028,57276.0
26876,107,20201029,57798.0
27091,108,20201025,24.0
27092,108,20201026,24.0
27093,108,20201027,24.0
27094,108,20201028,24.0
27095,108,20201029,24.0
27339,109,20201025,4467.0
27340,109,20201026,4678.0
27341,109,20201027,4757.0
27342,109,20201028,4893.0
27343,109,20201029,5144.0
27643,110,20201025,69906.0
27644,110,20201026,71390.0
27645,110,20201027,72186.0
27646,110,20201028,73995.0
27647,110,20201029,75845.0
27811,111,20201025,1934.0
27812,111,20201026,1940.0
27813,111,20201027,1943.0
27814,111,20201028,1947.0
27815,111,20201029,1947.0
28038,112,20201025,1393.0
28039,112,20201026,1393.0
28040,112,20201027,1416.0
28041,112,20201028,1419.0
28042,112,20201029,1419.0
28278,113,20201025,54374.0
28279,113,20201026,56013.0
28280,113,20201027,57223.0
28281,113,20201028,57975.0
28282,113,20201029,58874.0
28512,114,20201025,340.0
28513,114,20201026,365.0
28514,114,20201027,413.0
28515,114,20201028,438.0
28516,114,20201029,461.0
28816,115,20201025,9578.0
28817,115,20201026,10184.0
28818,115,20201027,10949.0
28819,115,20201028,11362.0
28820,115,20201029,12138.0
29120,116,20201025,13713.0
29121,116,20201026,14204.0
29122,116,20201027,14399.0
29123,116,20201028,14884.0
29124,116,20201029,15658.0
29424,117,20201025,26394.0
29425,117,20201026,26954.0
29426,117,20201027,27199.0
29427,117,20201028,27199.0
29428,117,20201029,28697.0
29647,118,20201025,16968.0
29648,118,20201026,16968.0
29649,118,20201027,16968.0
29650,118,20201028,16968.0
29651,118,20201029,16968.0
29862,119,20201025,5887.0
29863,119,20201026,5890.0
29864,119,20201027,5894.0
29865,119,20201028,5897.0
29866,119,20201029,5904.0
30166,120,20201025,25742.0
30167,120,20201026,26565.0
30168,120,20201027,27805.0
30169,120,20201028,28640.0
30170,120,20201029,29411.0
30400,121,20201025,11421.0
30401,121,20201026,11505.0
30402,121,20201027,11532.0
30403,121,20201028,11567.0
30404,121,20201029,11591.0
30618,122,20201025,3472.0
30619,122,20201026,3490.0
30620,122,20201027,3499.0
30621,122,20201028,3515.0
30622,122,20201029,3530.0
30885,123,20201025,5375.0
30886,123,20201026,5497.0
30887,123,20201027,5577.0
30888,123,20201028,5684.0
30889,123,20201029,5760.0
30890,124,20201029,2.0
31115,125,20201025,7662.0
31116,125,20201026,7662.0
31117,125,20201027,7663.0
31118,125,20201028,7677.0
31119,125,20201029,7677.0
31339,126,20201025,435.0
31340,126,20201026,435.0
31341,126,20201027,439.0
31342,126,20201028,439.0
31343,126,20201029,441.0
31643,127,20201025,886800.0
31644,127,20201026,891160.0
31645,127,20201027,895326.0
31646,127,20201028,901268.0
31647,127,20201029,906863.0
31877,128,20201025,71089.0
31878,128,20201026,71503.0
31879,128,20201027,71811.0
31880,128,20201028,72460.0
31881,128,20201029,73321.0
32181,129,20201025,296.0
32182,129,20201026,306.0
32183,129,20201027,310.0
32184,129,20201028,320.0
32185,129,20201029,337.0
32411,130,20201025,338.0
32412,130,20201026,339.0
32413,130,20201027,340.0
32414,130,20201028,340.0
32415,130,20201029,340.0
32637,131,20201025,16629.0
32638,131,20201026,16797.0
32639,131,20201027,16909.0
32640,131,20201028,17091.0
32641,131,20201029,17392.0
