,cod_location,date_id,total_cases
40704,157,20201102,132720.0
41013,158,20201029,222559.0
41014,158,20201030,229040.0
41015,158,20201031,235586.0
41016,158,20201101,241339.0
41017,158,20201102,246663.0
41326,159,20201029,1563976.0
41327,159,20201030,1581693.0
41328,159,20201031,1599976.0
41329,159,20201101,1618116.0
41330,159,20201102,1636781.0
41564,160,20201029,5129.0
41565,160,20201030,5131.0
41566,160,20201031,5134.0
41567,160,20201101,5137.0
41568,160,20201102,5146.0
41791,161,20201029,19.0
41792,161,20201030,19.0
41793,161,20201031,19.0
41794,161,20201101,19.0
41795,161,20201102,19.0
42029,162,20201029,73.0
42030,162,20201030,76.0
42031,162,20201031,78.0
42032,162,20201101,78.0
42033,162,20201102,84.0
42264,163,20201029,74.0
42265,163,20201030,74.0
42266,163,20201031,74.0
42267,163,20201101,74.0
42268,163,20201102,75.0
42577,164,20201029,927.0
42578,164,20201030,928.0
42579,164,20201031,928.0
42580,164,20201101,928.0
42581,164,20201102,928.0
42790,165,20201029,943.0
42791,165,20201030,944.0
42792,165,20201031,945.0
42793,165,20201101,945.0
42794,165,20201102,949.0
43041,166,20201029,346047.0
43042,166,20201030,346482.0
43043,166,20201031,346880.0
43044,166,20201101,347282.0
43045,166,20201102,347656.0
43295,167,20201029,15582.0
43296,167,20201030,15593.0
43297,167,20201031,15605.0
43298,167,20201101,15616.0
43299,167,20201102,15630.0
43551,168,20201029,42208.0
43552,168,20201030,43592.0
43553,168,20201031,45137.0
43554,168,20201101,46954.0
43555,168,20201102,48403.0
43789,169,20201029,153.0
43790,169,20201030,153.0
43791,169,20201031,153.0
43792,169,20201101,153.0
43793,169,20201102,153.0
44010,170,20201029,2354.0
44011,170,20201030,2362.0
44012,170,20201031,2365.0
44013,170,20201101,2366.0
44014,170,20201102,2366.0
44323,171,20201029,57987.0
44324,171,20201030,57994.0
44325,171,20201031,58003.0
44326,171,20201101,58015.0
44327,171,20201102,58019.0
44568,172,20201029,805.0
44569,172,20201030,805.0
44570,172,20201031,805.0
44571,172,20201101,826.0
44572,172,20201102,831.0
44815,173,20201029,48943.0
44816,173,20201030,51728.0
44817,173,20201031,55091.0
44818,173,20201101,57664.0
44819,173,20201102,59946.0
45067,174,20201029,28215.0
45068,174,20201030,30705.0
45069,174,20201031,32510.0
45070,174,20201101,34307.0
45071,174,20201102,35649.0
45090,175,20201029,8.0
45091,175,20201030,8.0
45092,175,20201031,8.0
45093,175,20201101,8.0
45094,175,20201102,8.0
45326,176,20201029,3941.0
45327,176,20201030,3941.0
45328,176,20201031,3941.0
45329,176,20201101,3941.0
45330,176,20201102,3941.0
45601,177,20201029,719714.0
45602,177,20201030,721770.0
45603,177,20201031,723682.0
45604,177,20201101,725452.0
45605,177,20201102,726823.0
45914,178,20201029,26271.0
45915,178,20201030,26385.0
45916,178,20201031,26511.0
45917,178,20201101,26635.0
45918,178,20201102,26732.0
46130,179,20201029,2890.0
46131,179,20201030,2903.0
46132,179,20201031,2903.0
46133,179,20201101,2905.0
46134,179,20201102,2926.0
46442,180,20201028,1136503.0
46443,180,20201029,1160083.0
46444,180,20201030,1185678.0
46445,180,20201031,1185678.0
46446,180,20201101,1185678.0
46755,181,20201029,9205.0
46756,181,20201030,9791.0
46757,181,20201031,10424.0
46758,181,20201101,10663.0
46759,181,20201102,11060.0
46994,182,20201029,13765.0
46995,182,20201030,13765.0
46996,182,20201031,13765.0
46997,182,20201101,13765.0
46998,182,20201102,13819.0
47227,183,20201029,5187.0
47228,183,20201030,5197.0
47229,183,20201031,5201.0
47230,183,20201101,5203.0
47231,183,20201102,5210.0
47465,184,20201029,5886.0
47466,184,20201030,5899.0
47467,184,20201031,5909.0
47468,184,20201101,5917.0
47469,184,20201102,5925.0
47777,185,20201028,118336.0
47778,185,20201029,121726.0
47779,185,20201030,124988.0
47780,185,20201031,129045.0
47781,185,20201101,132032.0
48090,186,20201029,135197.0
48091,186,20201030,144558.0
48092,186,20201031,153728.0
48093,186,20201101,153728.0
48094,186,20201102,153728.0
48320,187,20201029,5580.0
48321,187,20201030,5633.0
48322,187,20201031,5683.0
48323,187,20201101,5728.0
48324,187,20201102,5789.0
48633,188,20201029,553.0
48634,188,20201030,554.0
48635,188,20201031,555.0
48636,188,20201101,558.0
48637,188,20201102,563.0
48824,189,20201029,10900.0
48825,189,20201030,10939.0
48826,189,20201031,10977.0
48827,189,20201101,11017.0
48828,189,20201102,11054.0
49060,190,20201029,509.0
49061,190,20201030,509.0
49062,190,20201031,509.0
49063,190,20201101,509.0
49064,190,20201102,509.0
49373,191,20201029,3763.0
49374,191,20201030,3775.0
49375,191,20201031,3780.0
49376,191,20201101,3784.0
49377,191,20201102,3787.0
49604,192,20201029,30.0
49605,192,20201030,30.0
49606,192,20201031,30.0
49607,192,20201101,30.0
49608,192,20201102,30.0
49853,193,20201029,2238.0
49854,193,20201030,2296.0
49855,193,20201031,2312.0
49856,193,20201101,2331.0
49857,193,20201102,2357.0
50093,194,20201029,5594.0
50094,194,20201030,5636.0
50095,194,20201031,5668.0
50096,194,20201101,5668.0
50097,194,20201102,5668.0
50338,195,20201029,54278.0
50339,195,20201030,58029.0
50340,195,20201031,59813.0
50341,195,20201101,61115.0
50342,195,20201102,61906.0
50577,196,20201029,368513.0
50578,196,20201030,370832.0
50579,196,20201031,373154.0
50580,196,20201101,375367.0
50581,196,20201102,377473.0
50805,197,20201029,703.0
50806,197,20201030,703.0
50807,197,20201031,703.0
50808,197,20201101,704.0
50809,197,20201102,704.0
51036,198,20201029,11767.0
51037,198,20201030,12201.0
51038,198,20201031,12410.0
51039,198,20201101,12495.0
51040,198,20201102,12743.0
51280,199,20201029,363075.0
51281,199,20201030,370417.0
51282,199,20201031,378729.0
51283,199,20201101,387481.0
51284,199,20201102,395440.0
51593,200,20201029,129024.0
51594,200,20201030,130336.0
51595,200,20201031,131508.0
51596,200,20201101,132629.0
51597,200,20201102,133907.0
51906,201,20201029,942275.0
51907,201,20201030,965340.0
51908,201,20201031,989745.0
51909,201,20201101,1011660.0
51910,201,20201102,1034914.0
52219,202,20201029,8858024.0
52220,202,20201030,8946154.0
52221,202,20201031,9047427.0
52222,202,20201101,9126361.0
52223,202,20201102,9207362.0
52448,203,20201029,1353.0
52449,203,20201030,1353.0
52450,203,20201031,1362.0
52451,203,20201101,1376.0
52452,203,20201102,1376.0
52686,204,20201029,2981.0
52687,204,20201030,3044.0
52688,204,20201031,3082.0
52689,204,20201101,3124.0
52690,204,20201102,3149.0
52923,205,20201029,66313.0
52924,205,20201030,66542.0
52925,205,20201031,66628.0
52926,205,20201101,67055.0
52927,205,20201102,67156.0
53164,206,20201029,26.0
53165,206,20201030,26.0
53166,206,20201031,26.0
53167,206,20201101,26.0
53168,206,20201102,26.0
53402,207,20201029,90876.0
53403,207,20201030,91280.0
53404,207,20201031,91589.0
53405,207,20201101,92013.0
53406,207,20201102,92325.0
53715,208,20201029,1173.0
53716,208,20201030,1177.0
53717,208,20201031,1177.0
53718,208,20201101,1180.0
53719,208,20201102,1180.0
53737,209,20201029,1.0
53738,209,20201030,1.0
53739,209,20201031,1.0
53740,209,20201101,1.0
53741,209,20201102,1.0
53933,210,20201029,766.0
53934,210,20201030,766.0
53935,210,20201031,766.0
53936,210,20201101,766.0
53937,210,20201102,766.0
54145,212,20201029,2063.0
54146,212,20201030,2063.0
54147,212,20201031,2063.0
54148,212,20201101,2063.0
54149,212,20201102,2063.0
54379,213,20201029,16325.0
54380,213,20201030,16325.0
54381,213,20201031,16415.0
54382,213,20201101,16432.0
54383,213,20201102,16480.0
54611,214,20201029,8320.0
54612,214,20201030,8349.0
54613,214,20201031,8362.0
54614,214,20201101,8362.0
54615,214,20201102,8374.0
54924,211,20201029,44636179.0
54925,211,20201030,45184271.0
54926,211,20201031,45726276.0
54927,211,20201101,46184199.0
54928,211,20201102,46671356.0
55237,92,20201029,696.0
55238,92,20201030,696.0
55239,92,20201031,696.0
55240,92,20201101,696.0
55241,92,20201102,696.0
